Amino acid	Short	Abbrev.	mass (Da)	pI	pK1	pK2
Alanine	A	Ala	89.09404	6.01	2.35	9.87
Cysteine	C	Cys	121.15404	5.05	1.92	10.7
Aspartic acid	D	Asp	133.10384	2.85	1.99	9.9
Glutamic acid	E	Glu	147.13074	3.15	2.1	9.47
Phenylalanine	F	Phe	165.19184	5.49	2.2	9.31
Glycine	G	Gly	75.06714	6.06	2.35	9.78
Histidine	H	His	155.15634	7.6	1.8	9.33
Isoleucine	I	Ile	131.17464	6.05	2.32	9.76
Lysine	K	Lys	146.18934	9.6	2.16	9.06
Leucine	L	Leu	131.17464	6.01	2.33	9.74
Methionine	M	Met	149.20784	5.74	2.13	9.28
Asparagine	N	Asn	132.11904	5.41	2.14	8.72
Pyrrolysine	O	Pyl	255.31	?	?	?
Proline	P	Pro	115.13194	6.3	1.95	10.64
Glutamine	Q	Gln	146.14594	5.65	2.17	9.13
Arginine	R	Arg	174.20274	10.76	1.82	8.99
Serine	S	Ser	105.09344	5.68	2.19	9.21
Threonine	T	Thr	119.12034	5.6	2.09	9.1
Selenocysteine	U	Sec	168.053	5.47	1.91	10
Valine	V	Val	117.14784	6	2.39	9.74
Tryptophan	W	Trp	204.22844	5.89	2.46	9.41
Tyrosine	Y	Tyr	181.19124	5.64	2.2	9.21
